category_name;product_id;product_name;Описание;Состав;Белки в 100 г продукта, гр;Жиры в 100 г продукта, гр;Углеводы в 100 г продукта, гр;Энергетическая ценность в 100 г, ккал;Link
Веганское меню;22930;Салат винегрет с квашеной капустой;Рецептов традиционной русской закуски — винегрета — великое множество. Попробуйте наш вариант с квашеной капустой. Она придаёт винегрету яркий, насыщенный вкус и добавляет приятную кислинку.;Корона Фуд ООО: капуста квашеная (капуста белокочанная свежая, морковь столовая свежая, соль пищевая), картофель отварной, морковь столовая отварная, свёкла столовая отварная, горошек зелёный консервированный (зелёный горошек свежий, вода питьевая, сахар, соль пищевая), огурцы маринованные (огурцы свежие, соль пищевая, сахар, уксусная кислота 70 %, вода питьевая), масло подсолнечное рафинированное дезодорированное, петрушка свежая (зелень), соль пищевая, перец чёрный молотый. Продукция производится на предприятии, где используются рыба, моллюски, геркулес (глютен), горчица, молоко, сельдерей, соя, яйца и продукты их переработки.ФАСТЛЭНД ООО: капуста квашеная (капуста белокочанная свежая, морковь столовая свежая, соль пищевая), морковь столовая отварная, огурцы маринованные (огурцы свежие, вода питьевая, сахар, соль пищевая, кислота уксусная 70 %, лук репчатый свежий, семена горчицы), свёкла столовая отварная, картофель отварной, горошек зелёный консервированный (горошек зелёный свежий, вода питьевая, сахар, соль пищевая), масло подсолнечное рафинированное дезодорированное, петрушка свежая (зелень). Продукция производится на предприятии, где используются арахис, злаки, содержащие глютен, кунжут, моллюски, ракообразные, рыба, молоко (лактоза), орехи, сельдерей, соя, яйца. ;1.200;3.800;10.200;79.800;https:\\exemple_link.html11
Веганское меню;23073;Салат Кобб с имбирным соусом;Любителям овощных салатов обязательно придётся по душе салат кобб, благодаря гармоничному сочетанию ингредиентов и авторскому имбирному соусу. Сбалансированная смесь из хрустящих свежих салатных листьев удачно сочетается с насыщенным вкусом питательного нута и киноа, обжаренный тофу добавит сытности.;салат (киноа отварное, цукини на пару, редис свежий, огурцы свежие, салат айсберг свежий, салат романо свежий, салат радичио свежий, продукт соевый «тофу» обжаренный (продукт соевый «тофу» (бобы соевые, вода питьевая), масло подсолнечное рафинированное дезодорированное, соус соевый (вода питьевая, бобы соевые, пшеница, соль пищевая, сахар), нут отварной, кешью ядро обжаренное, кунжут семя обжаренное, салат корн свежий, шпинат мини свежий), соус имбирный (масло оливковое рафинированное с добавлением масел оливковых нерафинированных, соус соевый (вода питьевая, бобы соевые, пшеница, соль пищевая, сахар), корень имбиря свежий, уксус винный, сахар, чеснок свежий).;3.700;3.800;9.900;88.600;https:\\exemple_link.html12
Веганское меню;23761;Хумус с минихлебцами;Удобный формат закуски, которую удобно взять с собой. Паста из питательного нута отлично сочетается с хлебцами. Хумус обладает однородной консистенцией и характерным мягким вкусом с ореховыми нотами. Прекрасное дополнение к основному блюду и полезный перекус.;хумус классический (нут (горох турецкий), вода питьевая, кунжутная паста тахини (кунжут обжаренный тёртый), масло подсолнечное рафинированное дезодорированное, крахмал кукурузный, соль пищевая, регулятор кислотности – лимонная кислота, чеснок сушёный), мини-хлебцы хрустящие со средиземноморскими травами (мука пшеничная хлебопекарная в/с, вода питьевая, мука хлебопекарная ржаная обдирная, эмульгатор — соевый лецитин обезжиренный, солод ржаной ферментированный, масло подсолнечное рафинированное дезодорированное, семена льна, семена кунжута, смесь специй (орегано сушёный молотый, базилик сушёный молотый, чеснок сушёный порошок, соль пищевая, овсяные хлопья, солодовый экстракт (солод ячменный, вода питьевая, солод пшеничный)).;7.200;16.900;16.600;408.100;https:\\exemple_link.html13
Веганское меню;24796;Похлебка грибная;Аппетитный постный суп с шампиньонами и белыми грибами. Приготовлен из свежих овощей с добавлением перловой крупы, которая делает похлёбку ещё сытнее.По желанию можно дополнить сметаной.;вода питьевая, картофель свежий, морковь столовая свежая, лук репчатый свежий, масло подсолнечное рафинированное дезодорированное, крупа перловая, грибы шампиньоны свежие, грибы белые сушёные молотые, соль пищевая. ;3.600;4.200;7.100;NULL;https:\\exemple_link.html14
Веганское меню;24834;Суп-пюре из тыквы с кокосовым молоком;Лёгкий и сытный пряный суп из спелой медовой тыквы, на растительном молоке из мякоти кокоса. Для тёплого яркого вкуса и пикантного аромата в суп заботливо добавлены лука-порей, репчатый лук и чесночок, сладкая морковь, бальзамический уксус, жгучий имбирь, карри и золотистая куркума. Суп украшен поджаренными тыквенными семечками. Это живописное и очень вкусное первое блюдо можно дополнить хрустящими домашними сухариками.;молоко кокосовое (мякоть кокоса, вода питьевая), тыква свежая, вода питьевая, масло оливковое рафинированное с добавлением масел оливковых нерафинированных (Olive oil), лук репчатый свежий, лук порей свежий, морковь столовая свежая, уксус бальзамический (винный уксус, концентрированное виноградное сусло), чеснок свежий, корень имбиря свежий, тыквенные семечки, соль пищевая, кориандр молотый, куркума молотая, карри молотый.   ;1.400;6.700;5.800;89.100;https:\\exemple_link.html15
Веганское меню;24838;Драники овощные;Драники по обновлённой рецептуре, приготовленные из кабачков с добавлением картофеля и моркови. Насыщенный овощной вкус дополняется лёгкой пикантной ноткой за счёт чеснока и молотого чёрного перца в составе. Драники отлично подойдут для сытного перекуса или в качестве гарнира к основному блюду. Вкуснее разогретыми.&nbsp,&nbsp,;кабачок свежий, картофель свежий, морковь столовая свежая, перец сладкий свежий, лук репчатый свежий, мука пшеничная хлебопекарная высшего сорта, масло подсолнечное рафинированное дезодорированное, крахмал кукурузный, петрушка свежая, чеснок свежий, соль пищевая, перец чёрный молотый. Продукция производится на предприятии, где используются молоко (лактоза) и яйца.;2.400;5.600;20.200;140.800;https:\\exemple_link.html16
Веганское меню;24849;Блины постные с картофелем и грибами;Постные блинчинки с картофелем и шампинонами. Отличый выбор для завтрака и перекуса. Станут ещё вкуснее разогретыми. Подходят для веганов.&nbsp,;ТПК НВН ООО:блины постные (вода питьевая, мука пшеничная хлебопекарная высший сорт, сахар, масло подсолнечное рафинированное дезодорированное, соль пищевая), начинка (картофель отварной (картофель свежий, вода питьевая) шампиньоны жареные (шампиньоны свежие, масло подсолнечное рафинированное дезодорированное), лук репчатый свежий, масло подсолнечное рафинированное дезодорированное, соль пищевая, перец чёрный молотый).Смирнова Елена Валерьевна ИП: блины (вода питьевая, мука пшеничная хлебопекарная высшего сорта, сахар, масло подсолнечное рафинированное дезодорированное, соль пищевая), начинка (картофель отварной (картофель продовольственный свежий, вода питьевая), грибы шампиньоны жареные (грибы шампиньоны свежие, масло подсолнечное рафинированное дезодорированное), лук репчатый жареный (лук репчатый свежий, масло подсолнечное рафинированное дезодорированное), масло подсолнечное рафинированное дезодорированное, соль пищевая, перец чёрный молотый). Продукция производится на предприятии, где используются арахис, кунжут, молоко (лактоза), орехи, яйца.;3.600;3.700;25.400;149.300;https:\\exemple_link.html17
Веганское меню;25360;Салат Винегрет без картофеля;Винегрет — классика русской кухни. Он прекрасно подойдёт для обеда или ужина, а ещё это блюдо удачно разнообразит постный стол. Без картофеля винегрет по-прежнему сытный, но куда более лёгкий и менее калорийный.;ПРО ВКУС ООО: свёкла столовая отварная, капуста белокочанная свежая, морковь столовая отварная, огурцы солёные (огурцы свежие, вода питьевая, соль пищевая, укроп), масло подсолнечное рафинированное дезодорированное, горошек консервированный (горошек зелёный мозговых сортов, вода питьевая, сахар, соль пищевая), вода питьевая, уксус столовый 9 %, укроп свежий, сахар, соль пищевая, чеснок свежий, перец душистый (горошек), лавровый лист.ФАСТЛЭНД ООО: свёкла столовая отварная, капуста квашеная (капуста белокочанная свежая, морковь столовая свежая, соль пищевая), морковь столовая отварная, огурцы солёные (огурцы свежие, уксус столовый 9 %, соль пищевая, вода питьевая),горошек зелёный консервированный (горошек зелёный, вода питьевая, сахар, соль пищевая), масло подсолнечное нерафинированное, зелень укропа свежего. Производится на предприятии, где используются горчица, арахис, злаки, кунжут, ракообразные, рыба, орехи, сельдерей, соя, яйца, молоко и продукты их переработки. ;1.600;7.200;9.000;107.200;https:\\exemple_link.html18
Веганское меню;28947;Булгур с овощами;Булгур с томатами, кабачками и сладким перцем. Обладает насыщенным овощным вкусом с лёгкими пикантными нотками. Рекомендуем подавать в качестве гарнира к основному блюду или холодной закуски.&nbsp,&nbsp,;крупа булгур, томаты консервированные (томаты очищенные свежие, томатный сок прямого отжима, регулятор кислотности - лимонная кислота), кабачки свежие, морковь столовая свежая,  перец сладкий свежий, лук репчатый свежий, вода питьевая, масло подсолнечное рафинированное дезодорированное,  петрушка свежая, чеснок свежий, соль пищевая, сахар, перец черный молотый, орегано сушеный.Продукция производится на предприятии, где используются аллергены: арахис, горчица, кунжут, люпин, ракообразные, рыба, молоко (лактоза), орехи, сельдерей, соя, яйца.;2.500;2.000;11.700;74.800;https:\\exemple_link.html19
Веганское меню;29812;Капуста квашеная, 300 г;Белоснежная, аппетитно хрустящая, тонко нашинкованная квашеная капуста с морковью. Умеренно соленая. Не содержит рафинированного сахара. Из такой капустки можно приготовить ароматный винегрет, роскошный борщ или щи, потушить с мясом, сделать из нее начинку для пирога или вареников.;Капуста белокочанная свежая, морковь свежая, соль поваренная пищевая;1.200;0.200;5.700;29.400;https:\\exemple_link.html20
Веганское меню;33870;Голубцы с овощами и чечевицей;Веганская версия голубцов, приготовленная с чечевицей, шампиньонами и сочыми овощами. Для заправки — ароматный томатный соус, подчеркивающий пряный вкус блюда. Эти голубцы подойдут не только тем, кто не ест мясо, но и придерживающимся строго рациона, ведь в 100 г продукта содержится менее 100 килокалорий.;голубцы (капуста белокочанная свежая, шампиньоны резаные быстрозамороженные, лук репчатый свежий, водапитьевая, масло подсолнечное рафинированное дезодорированное, чечевица тарелочная продовольственная, петрушка свежая, соль пищевая, чеснок свежий, приправа хмели-сунели (куркума, кориандр, шамбала, соль пищевая, перец красный острый чили, укроп семя, лавровый лист, сельдерей, майоран, укроп зелень сушёная, петрушка зелень сушёная, чабер), перец чёрный молотый, кориандр молотый), соус (вода питьевая, масло подсолнечное рафинированноедезодорированное, продукты томатные концентрированные – томатная паста с массовой долей растворимых сухихвеществ 25 % (томатная паста, вода питьевая), морковь столовая свежая, лук репчатый свежий, петрушка свежая, сахар, соль пищевая, перец чёрный молотый, гвоздика целая, лавровый лист). Продукция производится на предприятии, где используются: рыба, моллюски, злаки, содержащие глютен, горчица, кунжут, орехи, молоко, соя, яйца.;NULL;NULL;NULL;NULL;https:\\exemple_link.html21
Веганское меню;34511;Пенне с грибами и овощами;Вегетарианская паста с шампиньонами, морковью и болгарским перцем. Приправлена свежими травами и небольшим количеством чеснока. Сытное блюдо, которое особенно хорошо подойдёт для обеда.;макаронные изделия пенне отварные (вода питьевая, изделия макаронные из твёрдых сортов пшеницы (мука из твёрдых сортов пшеницы, вода питьевая), масло подсолнечное рафинированное дезодорированное, соль пищевая), грибы шампиньоны свежие, морковь столовая свежая, лук репчатый свежий, перец сладкий свежий, масло подсолнечное рафинированное дезодорированное, соль пищевая, петрушка свежая (зелень), базилик свежий (зелень), чеснок свежий, перец чёрный молотый, кориандр молотый.Продукция производится на предприятии, где используются горчица, кунжут, орехи, арахис, моллюски, ракообразные, рыба, сельдерей, соя, молоко, яйца и продукты их переработки.;6.500;8.500;24.000;198.500;https:\\exemple_link.html22
Веганское меню;34777;Лобио с грецким орехом;Настоящее грузинское лобио из нежной красной фасоли, томатной пасты и грецких орехов. Густое, ароматное, с ярким пряным вкусом. Лобио щедро приправлено традиционными специями хмели-сунели, свежим чесночком и молотым красным сладким перцем. Лобио можно подавать как соус, гарнир к мясу и птице, или как отдельное блюдо со свежей зеленью и горячим домашним хлебом.;фасоль красная, ядра грецкого ореха, лук репчатый свежий, паста томатная с массовой долей растворимых сухих веществ 28–30 %, масло подсолнечное рафинированное дезодорированное, чеснок свежий, соль пищевая, перец чёрный молотый, приправа хмели-сунели (укроп, майоран, базилик, кориандр, красный перец сладкий), красный перец сладкий молотый, петрушка свежая.;6.000;4.000;18.000;132.000;https:\\exemple_link.html23
Веганское меню;34834;"Салат со свеклой ""Идиллия""";Лёгкий салат из отварной свёклы, которая довольно необычно, но весьма удачно сочетается с маринованными огурчиками. Простая заправка из растительного масла подчёркивает насыщенный и сочный вкус салата.;свёкла столовая варёная (вода питьевая, свёкла свежая), огурцы маринованные (огурцы свежие, вода питьевая, соль пищевая, семя укропа, лавровый лист, душистый перец, чеснок свежий, сахар, уксус столовый 9 %), лук пассерованный (лук репчатый свежий, масло подсолнечное рафинированное дезодорированное), масло подсолнечное нерафинированное, зелень петрушки свежая, соль пищевая. Продукция производится на предприятии, где используются арахис, горчица, злаки, содержащие глютен, кунжут, рыба, молоко (лактоза), орехи, сельдерей, соя, яйца.;1.400;4.100;8.300;75.700;https:\\exemple_link.html24
Веганское меню;34835;"Салат ""Витаминный"" с лимонной заправкой";Полезный летний салат из свежих овощей: капусты, огурцов, моркови и сладкого перца. Чтобы внести во вкус яркие нотки, мы выбрали заправку из растительного масла с ароматным цветочным мёдом и небольшим количеством столового уксуса и лимонного сока.Без лука и животных ингредиентов.;капуста белокочанная свежая, огурец свежий, морковь столовая свежая, перец сладкий свежий, укроп свежий (зелень), заправка (масло подсолнечное рафинированное дезодорированное, сок лимона прямого отжима, уксус яблочный 9 %, сахар, мёд натуральный цветочный, соль пищевая). Продукция производится на предприятии, где используются арахис, горчица, злаки, содержащие глютен, кунжут, моллюски, ракообразные, рыба, молоко (лактоза), орехи, сельдерей, соя, яйца и продукты их переработки. ;1.000;7.700;8.800;108.500;https:\\exemple_link.html25
Веганское меню;36997;Пхали из зеленой фасоли;Аппетитная, ароматная и очень сытная закуска по традиционному рецепту грузинской кухни. Пхали приготовлены по-домашнему из стручковой кенийской фасоли, грецких орехов, репчатого лучка, подсолнечного масла, свежего чеснока, пряной кинзы и обязательно — сладких и сочных гранатовых зёрен. Для особенного аромата добавлена приправа уцхо-сунели с кориандром, пажитником, петрушкой, укропом и майораном. Необычайно богатый, маслянистый, ореховый и овощной вкус пхали насыщает и согревает. Может стать лёгким вторым блюдом или питательным перекусом.;Кенийская стручковая фасоль быстрозамороженная, ядра грецкого ореха, лук репчатый свежий, масло подсолнечное рафинированное дезодорированное,  кинза свежая, чеснок свежий, зерна граната свежего, уксус винный, соль пищевая, кориандр, перец красный  свежий,  приправа сушеная уцхо-сунели (кориандр молотый, зелень укропа, зелень петрушки, майоран, базилик, пажитник).Продукция производится на предприятии, где используются аллергены: арахис, горчица, злаки, содержащие глютен, кунжут, молоко (лактоза), сельдерей, соя, яйца.;6.000;19.200;11.800;244.000;https:\\exemple_link.html26
Веганское меню;37952;Картофель по-домашнему;Поджаренный золотистый картофель с пряным маслом. Можно употреблять самостоятельно или в качестве гарнира. Идеальный выбор для обеда по-домашнему.;картофель по-домашнему (картофель свежий, масло подсолнечное рафинированное дезодорированное, соль пищевая, перец чёрный молотый), соус (масло подсолнечноерафинированное дезодорированное, укроп свежий, бальзамический уксус (винный уксус 6 % (вино, концентрированное виноградное сусло, антиокислитель – диоксид серы)), соус соевый (соевые бобы, вода питьевая, мука пшеничная, соль пищевая), чеснок свежий, сок лимона прямого отжима, соль пищевая). Продукция производится на предприятии, где используются арахис, горчица, кунжут, моллюски, ракообразные, рыба, молоко (лактоза), орехи, сельдерей, яйца.;1.600;10.100;13.800;152.500;https:\\exemple_link.html27
Веганское меню;38635;Закуска из баклажанов;Деликатесная закуска из свежих, сливочной спелости баклажанов разнеженных в чесночном масле. Грецкие орехи, кориандр, семена подсолнечника, ядрышки садкого граната и душистая кинза придают закуске особую пряность. Замечательный ингридиент для блюд кавказской и балканской кухни. С такой закуской можно запечь мясо, приготовить мусаку, нафаршировать ею блинчики или просто положить на подрумяненный тост.;Баклажаны свежие, ядра грецкого ореха, семена подсолнечника очищенные, зелень кинзы свежая, масло чесночное (масло подсолнечное рафинированное дезодорированное, чеснок свежий), зерна граната свежего, масло подсолнечное рафинированное дезодорированное, приправа сушеная  хмели-сунели (базилик, перец красный острый, укроп, кориандр, майоран, шафран), соль пищевая, кориандр молотый, антиокислитель – аскорбиновая кислота.Продукция производится на предприятии, где используются аллергены: арахис, горчица, злаки, содержащие глютен, кунжут, рыба, молоко (лактоза), сельдерей, соя, яйца.;4.800;24.500;7.600;270.100;https:\\exemple_link.html28
